# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       72.645      696.273
       1.001      108.900       72.645      696.273
       2.002      107.900       72.645      696.273
       3.003      107.800       72.645      696.273
       4.005      105.800       72.645      696.273
       5.006      108.900       72.645      696.273
       6.007      107.900       72.645      696.273
       7.009      107.800       72.645      696.273
       8.009      107.900       72.645      696.273
       9.011      107.900       72.645      696.273
      10.012      106.900       72.645      696.273
      11.013      107.900       72.645      696.273
      12.013      107.900       72.645      696.273
      13.014      106.900       72.645      696.273
      14.014      107.900       72.645      696.273
      15.015      107.900       72.645      696.273
